Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,0.859375,0.786458,0.807292,0.373133,2568000
1980-03-24,0.000000,0.807292,0.625000,0.744792,0.344246,4051200
1980-03-31,0.000000,0.838542,0.757813,0.825521,0.381559,3657600
1980-04-07,0.000000,0.833333,0.760417,0.781250,0.361097,2428800
1980-04-14,0.000000,0.781250,0.739583,0.739583,0.341838,1401600
1980-04-21,0.000000,0.783854,0.710938,0.781250,0.361097,2908800
1980-04-28,0.000000,0.869792,0.789063,0.817708,0.377948,2289600
1980-05-05,0.000000,0.932292,0.822917,0.895833,0.414057,3787200
1980-05-12,0.000000,0.989583,0.880208,0.966146,0.446557,4180800
1980-05-19,0.000000,0.979167,0.911458,0.968750,0.447760,3892800
1980-05-26,0.000000,0.973958,0.932292,0.945313,0.436927,2164800
1980-06-02,0.000000,0.976563,0.945313,0.960938,0.444150,3960000
1980-06-09,0.000000,0.986979,0.953125,0.971354,0.448964,1948800
1980-06-16,0.000000,0.968750,0.937500,0.945313,0.436927,2332800
1980-06-23,0.000000,1.041667,0.950521,1.000000,0.462204,2611200
1980-06-30,0.000000,1.013021,0.979167,1.005208,0.464611,998400
1980-07-07,0.000000,1.145833,1.013021,1.140625,0.527201,3072000
1980-07-14,0.000000,1.236979,1.148438,1.218750,0.563311,3331200
1980-07-21,0.000000,1.239583,1.200521,1.200521,0.554886,1992000
1980-07-28,0.000000,1.234375,1.184896,1.229167,0.568126,2822400
1980-08-04,0.000000,1.330729,1.221354,1.281250,0.592199,2856000
1980-08-11,0.000000,1.312500,1.276042,1.299479,0.600624,1252800
1980-08-18,0.000000,1.299479,1.200521,1.270833,0.587384,3710400
1980-08-25,0.000000,1.276042,1.135417,1.158854,0.535627,3316800
1980-09-01,0.000000,1.296875,1.153646,1.250000,0.577754,2419200
1980-09-08,0.000000,1.255208,1.200521,1.231771,0.569329,2692800
1980-09-15,0.000000,1.270833,1.213542,1.265625,0.584977,1896000
1980-09-22,0.000000,1.320313,1.270833,1.291667,0.597014,2016000
1980-09-29,0.000000,1.286458,1.213542,1.263021,0.583773,2097600
1980-10-06,0.000000,1.348958,1.260417,1.286458,0.594606,2923200
1980-10-13,0.000000,1.317708,1.255208,1.255208,0.580162,1334400
1980-10-20,0.000000,1.255208,1.229167,1.229167,0.568126,2212800
1980-10-27,0.000000,1.270833,1.218750,1.250000,0.577754,1368000
1980-11-03,0.000000,1.348958,1.250000,1.322917,0.611458,2102400
1980-11-10,0.000000,1.531250,1.317708,1.510417,0.698120,4075200
1980-11-17,0.000000,1.546875,1.447917,1.458333,0.674047,2390400
1980-11-24,0.000000,1.463542,1.416667,1.416667,0.654789,849600
1980-12-01,0.000000,1.427083,1.354167,1.354167,0.625901,1363200
1980-12-08,0.000000,1.343750,1.273438,1.315104,0.607846,3105600
1980-12-15,0.000000,1.380208,1.312500,1.375000,0.635531,1526400
1980-12-22,0.000000,1.458333,1.382813,1.453125,0.671640,1636800
1980-12-29,0.000000,1.463542,1.442708,1.463542,0.676455,936000
1981-01-05,0.000000,1.515625,1.437500,1.453125,0.671640,2736000
1981-01-12,0.000000,1.520833,1.453125,1.515625,0.700528,1281600
1981-01-19,0.000000,1.546875,1.492188,1.494792,0.690899,1300800
1981-01-26,0.000000,1.502604,1.416667,1.427083,0.659604,1012800
1981-02-02,0.000000,1.455729,1.356771,1.432292,0.662011,1612800
1981-02-09,0.000000,1.437500,1.421875,1.429688,0.660808,1156800
1981-02-16,0.000000,1.437500,1.424479,1.434896,0.663215,1286400
1981-02-23,0.000000,1.479167,1.427083,1.447917,0.669233,2582400
1981-03-02,0.000000,1.442708,1.343750,1.369792,0.633123,2587200
1981-03-09,0.000000,1.395833,1.348958,1.395833,0.645160,2217600
1981-03-16,0.000000,1.393229,1.354167,1.380208,0.637938,1910400
1981-03-23,0.000000,1.458333,1.375000,1.437500,0.664418,1555200
1981-03-30,0.000000,1.583333,1.432292,1.565104,0.723397,3144000
1981-04-06,0.000000,1.679688,1.541667,1.625000,0.751081,3619200
1981-04-13,0.000000,1.645833,1.609375,1.630208,0.753489,787200
1981-04-20,0.000000,1.677083,1.619792,1.661458,0.767932,3628800
1981-04-27,0.000000,1.671875,1.531250,1.562500,0.722194,3043200
1981-05-04,0.000000,1.572917,1.533854,1.562500,0.722194,2870400
1981-05-11,0.000000,1.578125,1.539063,1.567708,0.724601,1214400
1981-05-18,0.000000,1.622396,1.565104,1.614583,0.746266,1819200
1981-05-25,0.000000,1.666667,1.598958,1.656250,0.765525,2193600
1981-06-01,0.000000,1.656250,1.640625,1.651042,0.763119,2289600
1981-06-08,0.000000,1.708333,1.648438,1.692708,0.782377,1555200
1981-06-15,0.000000,1.697917,1.609375,1.609375,0.743859,1257600
1981-06-22,0.000000,1.708333,1.598958,1.703125,0.787191,2788800
1981-06-29,0.000000,1.713542,1.645833,1.651042,0.763119,1584000
1981-07-06,0.000000,1.645833,1.567708,1.588542,0.734231,1694400
1981-07-13,0.000000,1.609375,1.583333,1.593750,0.736638,1953600
1981-07-20,0.000000,1.588542,1.484375,1.494792,0.690899,3792000
1981-07-27,0.000000,1.505208,1.395833,1.406250,0.649975,2740800
1981-08-03,0.000000,1.494792,1.395833,1.492188,0.689695,1387200
1981-08-10,0.000000,1.515625,1.484375,1.484375,0.686084,1046400
1981-08-17,0.000000,1.489583,1.445313,1.453125,0.671640,1204800
1981-08-24,0.000000,1.455729,1.317708,1.369792,0.633123,3230400
1981-08-31,0.000000,1.390625,1.307292,1.317708,0.609050,1310400
1981-09-07,0.000000,1.322917,1.229167,1.244792,0.575348,2486400
1981-09-14,0.000000,1.244792,1.052083,1.083333,0.500721,4588800
1981-09-21,0.000000,1.114583,1.057292,1.062500,0.491092,6158400
1981-09-28,0.000000,1.164063,1.020833,1.145833,0.529609,3667200
1981-10-05,0.000000,1.208333,1.156250,1.200521,0.554886,2001600
1981-10-12,0.000000,1.208333,1.177083,1.197917,0.553682,1488000
1981-10-19,0.000000,1.192708,1.140625,1.140625,0.527201,1833600
1981-10-26,0.000000,1.145833,1.093750,1.104167,0.510350,6753600
