Date,Open,High,Low,Close,Adj Close,Volume
1980-12-01,0.179688,0.183594,0.171875,0.171875,0.123051,156172800
1980-12-08,0.164063,0.164063,0.140625,0.146484,0.104872,30707200
1980-12-15,0.152344,0.154297,0.142578,0.152344,0.109068,39232000
1980-12-22,0.152344,0.167969,0.152344,0.164063,0.117458,11456000
1980-12-29,0.164063,0.171875,0.162109,0.167969,0.120254,10598400
1981-01-05,0.174805,0.177734,0.160156,0.160156,0.114661,27353600
1981-01-12,0.162109,0.175781,0.162109,0.171875,0.123051,21593600
1981-01-19,0.171875,0.173828,0.156250,0.160156,0.114661,11225600
1981-01-26,0.160156,0.160156,0.150391,0.150391,0.107670,6502400
1981-02-02,0.150391,0.154297,0.146484,0.150391,0.107670,10355200
1981-02-09,0.150391,0.152344,0.140625,0.140625,0.100678,5708800
1981-02-16,0.140625,0.152344,0.140625,0.146484,0.104872,6425600
1981-02-23,0.146484,0.156250,0.146484,0.150391,0.107670,4684800
1981-03-02,0.150391,0.158203,0.150391,0.150391,0.107670,9536000
1981-03-09,0.150391,0.152344,0.136719,0.142578,0.102076,8870400
1981-03-16,0.142578,0.144531,0.134766,0.136719,0.097881,9062400
1981-03-23,0.136719,0.142578,0.136719,0.140625,0.100678,11968000
1981-03-30,0.144531,0.162109,0.144531,0.160156,0.114661,16422400
1981-04-06,0.160156,0.173828,0.156250,0.169922,0.121652,16320000
1981-04-13,0.167969,0.177734,0.160156,0.173828,0.124449,25177600
1981-04-20,0.173828,0.179688,0.166016,0.166016,0.118856,23283200
1981-04-27,0.166016,0.169922,0.162109,0.162109,0.116059,6425600
1981-05-04,0.162109,0.166016,0.158203,0.160156,0.114661,6131200
1981-05-11,0.160156,0.167969,0.158203,0.158203,0.113262,6400000
1981-05-18,0.158203,0.166016,0.158203,0.160156,0.114661,8409600
1981-05-25,0.164063,0.183594,0.164063,0.177734,0.127245,21555200
1981-06-01,0.183594,0.189453,0.183594,0.185547,0.132839,25830400
1981-06-08,0.185547,0.193359,0.183594,0.189453,0.135635,18137600
1981-06-15,0.191406,0.195313,0.179688,0.181641,0.130042,34137600
1981-06-22,0.181641,0.193359,0.181641,0.185547,0.132839,15244800
1981-06-29,0.185547,0.189453,0.181641,0.185547,0.132839,4979200
1981-07-06,0.185547,0.185547,0.166016,0.166016,0.118856,5644800
1981-07-13,0.169922,0.177734,0.169922,0.173828,0.124449,3916800
1981-07-20,0.169922,0.173828,0.162109,0.171875,0.123051,10009600
1981-07-27,0.171875,0.175781,0.169922,0.169922,0.121652,7104000
1981-08-03,0.167969,0.167969,0.152344,0.152344,0.109068,7001600
1981-08-10,0.152344,0.167969,0.152344,0.164063,0.117458,5299200
1981-08-17,0.164063,0.166016,0.150391,0.156250,0.111864,5964800
1981-08-24,0.154297,0.154297,0.145508,0.150391,0.107670,6412800
1981-08-31,0.150391,0.152344,0.146484,0.146484,0.104872,5606400
1981-09-07,0.146484,0.160156,0.144531,0.154297,0.110466,3993600
1981-09-14,0.158203,0.169922,0.154297,0.154297,0.110466,7244800
1981-09-21,0.156250,0.158203,0.146484,0.146484,0.104872,7705600
1981-09-28,0.146484,0.156250,0.144531,0.152344,0.109068,6630400
1981-10-05,0.156250,0.160156,0.146484,0.146484,0.104872,5491200
1981-10-12,0.154297,0.181641,0.154297,0.177734,0.127245,34662400
1981-10-19,0.183594,0.193359,0.183594,0.187500,0.134237,50470400
1981-10-26,0.187500,0.210938,0.187500,0.207031,0.148220,29158400
1981-11-02,0.207031,0.207031,0.199219,0.199219,0.142627,18777600
1981-11-09,0.201172,0.214844,0.201172,0.210938,0.151017,24307200
1981-11-16,0.210938,0.210938,0.203125,0.207031,0.148220,14092800
1981-11-23,0.207031,0.218750,0.207031,0.214844,0.153813,8972800
1981-11-30,0.216797,0.226563,0.216797,0.218750,0.156610,15462400
1981-12-07,0.218750,0.220703,0.214844,0.214844,0.153813,8051200
1981-12-14,0.214844,0.222656,0.212891,0.218750,0.156610,10035200
1981-12-21,0.218750,0.220703,0.210938,0.210938,0.151017,8460800
1981-12-28,0.210938,0.226563,0.210938,0.220703,0.158008,12057600
1982-01-04,0.220703,0.224609,0.210938,0.222656,0.159406,20083200
1982-01-11,0.224609,0.232422,0.222656,0.224609,0.160805,22105600
1982-01-18,0.226563,0.230469,0.220703,0.220703,0.158008,23270400
1982-01-25,0.218750,0.230469,0.214844,0.228516,0.163602,15475200
1982-02-01,0.228516,0.238281,0.226563,0.237305,0.169894,28697600
1982-02-08,0.234375,0.234375,0.223633,0.223633,0.160106,13376000
1982-02-15,0.220703,0.224609,0.218750,0.222656,0.159406,9945600
1982-02-22,0.223633,0.225586,0.216797,0.221680,0.158708,14720000
1982-03-01,0.221680,0.225586,0.221680,0.222656,0.159406,27315200
1982-03-08,0.220703,0.220703,0.199219,0.199219,0.142627,21580800
1982-03-15,0.199219,0.211914,0.194336,0.208984,0.149618,12454400
1982-03-22,0.216797,0.231445,0.216797,0.227539,0.162902,11379200
1982-03-29,0.229492,0.236328,0.229492,0.234375,0.167796,9267200
1982-04-05,0.234375,0.237305,0.233398,0.236328,0.169194,29286400
