Date,Open,High,Low,Close,Adj Close,Volume
2021-09-20,65.260002,65.989998,53.000000,55.779999,55.779999,22762900
2021-09-27,55.509998,56.373001,49.000000,53.549999,53.549999,10340600
2021-10-04,53.549999,55.595001,50.660000,51.820000,51.820000,5020000
2021-10-11,51.790001,58.450001,50.200001,56.209999,56.209999,5581700
2021-10-18,55.490002,56.740002,48.650002,49.619999,49.619999,5659500
2021-10-25,49.619999,56.380001,49.610001,53.220001,53.220001,4498200
2021-11-01,54.540001,69.930000,54.540001,59.000000,59.000000,8986700
2021-11-08,56.299999,61.750000,46.400002,48.130001,48.130001,19766400
2021-11-15,48.000000,48.990002,42.070000,45.070000,45.070000,16485200
2021-11-22,44.990002,45.400002,40.020000,43.099998,43.099998,14006700
2021-11-29,43.500000,44.340000,32.200001,34.439999,34.439999,19415600
2021-12-06,34.110001,41.400002,32.950001,37.270000,37.270000,12244500
2021-12-13,36.980000,37.650002,30.690001,34.889999,34.889999,25517100
2021-12-20,33.680000,40.259998,33.250000,39.630001,39.630001,9450600
2021-12-27,39.939999,40.130001,34.500000,34.709999,34.709999,8807500
2022-01-03,34.900002,35.549999,25.950001,28.400000,28.400000,19285500
2022-01-10,27.600000,30.940001,24.690001,25.200001,25.200001,12788600
2022-01-17,24.650000,26.440001,20.799999,22.559999,22.559999,15032100
2022-01-24,21.709999,23.370001,18.719999,20.360001,20.360001,26801900
2022-01-31,20.469999,26.330000,20.400000,23.059999,23.059999,22494300
2022-02-07,22.990000,30.600000,22.969999,27.590000,27.590000,13877800
2022-02-14,27.490000,29.370001,19.745001,20.870001,20.870001,37056800
2022-02-21,20.200001,21.870001,16.600000,20.260000,20.260000,20554500
2022-02-28,20.150000,21.209999,17.809999,17.889999,17.889999,25293800
2022-03-07,17.549999,20.150000,16.520000,17.629999,17.629999,22878600
2022-03-14,17.420000,20.940001,15.825000,19.650000,19.650000,34296600
2022-03-21,19.059999,21.020000,18.250000,19.440001,19.440001,15401600
2022-03-28,19.250000,23.639999,18.080000,22.760000,22.760000,21227500
2022-04-04,23.120001,24.358000,17.920000,18.809999,18.809999,29155000
2022-04-11,18.490000,20.170000,18.110001,19.299999,19.299999,18098900
2022-04-18,19.160000,20.950001,18.136000,18.799999,18.799999,22648700
2022-04-25,18.610001,20.870001,18.110001,18.629999,18.629999,23970700
2022-05-02,18.719999,19.940001,14.410000,15.370000,15.370000,25107200
2022-05-09,14.980000,16.530001,11.910000,14.990000,14.990000,49321600
2022-05-16,15.200000,16.170000,12.840000,15.360000,15.360000,35174000
2022-05-23,15.250000,17.000000,13.980000,16.520000,16.520000,23939700
2022-05-30,16.730000,17.379999,15.130000,16.719999,16.719999,22516400
2022-06-06,17.250000,17.670000,14.270000,14.980000,14.980000,29337200
2022-06-13,14.010000,14.650000,12.875000,13.120000,13.120000,59742500
2022-06-20,13.290000,15.320000,13.290000,15.150000,15.150000,40644800
2022-06-27,15.150000,15.310000,12.150000,13.700000,13.700000,20937800
2022-07-04,13.460000,15.100000,13.210000,14.570000,14.570000,15626000
2022-07-11,14.280000,15.090000,13.540000,13.990000,13.990000,18806700
2022-07-18,14.260000,15.710000,13.670000,14.680000,14.680000,20645000
2022-07-25,14.660000,16.437000,13.655000,15.980000,15.980000,19059200
2022-08-01,15.760000,17.320000,14.660000,16.559999,16.559999,27640300
2022-08-08,16.790001,21.760000,16.424999,19.639999,19.639999,46982400
2022-08-15,19.170000,21.610001,17.969999,18.370001,18.370001,40323400
2022-08-22,17.840000,20.049999,17.635000,18.719999,18.719999,22800200
2022-08-29,18.309999,19.420000,17.790001,18.389999,18.389999,17624000
2022-09-05,18.420000,21.590000,18.021999,21.440001,21.440001,19590700
2022-09-12,21.559999,22.465000,18.955000,19.150000,19.150000,37363300
2022-09-19,18.870001,19.190001,17.035000,17.660000,17.660000,19903600
2022-09-26,17.639999,19.040001,16.700001,16.719999,16.719999,23955400
2022-10-03,16.809999,18.520000,16.205000,16.820000,16.820000,24144300
2022-10-10,18.059999,18.469999,16.059999,16.980000,16.980000,25008300
